Example response to /action,41743
/track/1/send/2/pan (0.5,)
/track/1/send/3/name ('Send 3',)
/track/1/send/3/volume/str ('-inf dB',)
/track/1/send/3/volume (0.0025138729251921177,)
/track/1/send/3/pan/str ('center',)
/track/1/send/3/pan (0.5,)
/track/1/send/4/name ('Send 4',)
/track/1/send/4/volume/str ('-inf dB',)
/track/1/send/4/volume (0.0025138729251921177,)
/track/1/send/4/pan/str ('center',)
/track/1/send/4/pan (0.5,)
/track/1/recv/1/name ('Recv 1',)
/track/1/recv/1/volume/str ('-inf dB',)
/track/1/recv/1/volume (0.0025138729251921177,)
/track/1/recv/1/pan/str ('center',)
/track/1/recv/1/pan (0.5,)
/track/1/recv/2/name ('Recv 2',)
/track/1/recv/2/volume/str ('-inf dB',)
/track/1/recv/2/volume (0.0025138729251921177,)
/track/1/recv/2/pan/str ('center',)
/track/1/recv/2/pan (0.5,)
/track/1/recv/3/name ('Recv 3',)
/track/1/recv/3/volume/str ('-inf dB',)
/track/1/recv/3/volume (0.0025138729251921177,)
/track/1/recv/3/pan/str ('center',)
/track/1/recv/3/pan (0.5,)
/track/1/recv/4/name ('Recv 4',)
/track/1/recv/4/volume/str ('-inf dB',)
/track/1/recv/4/volume (0.0025138729251921177,)
/track/1/recv/4/pan/str ('center',)
/track/1/recv/4/pan (0.5,)
/track/1/fx/1/name ('mda Bandisto (mda)',)
/track/1/fx/1/number/str ('1',)
/track/1/fx/1/preset ('',)
/track/1/fx/1/bypass (1.0,)
/track/1/fx/1/openui (1.0,)
/track/1/fx/1/fxparam/1/value (0.0,)
/track/1/fx/1/fxparam/2/value (1.0,)
/track/1/fx/1/fxparam/3/value (0.12399999797344208,)
/track/1/fx/1/fxparam/4/value (0.5,)
/track/1/fx/1/fxparam/5/value (0.10599999874830246,)
/track/1/fx/1/fxparam/6/value (0.12399999797344208,)
/track/1/fx/1/fxparam/7/value (0.7789999842643738,)
/track/1/fx/1/fxparam/8/value (0.5,)
/track/1/fx/1/fxparam/9/value (0.5,)
/track/1/fx/1/fxparam/10/value (0.3199999928474426,)
/track/1/fx/1/fxparam/11/value (0.0,)
/track/1/fx/1/fxparam/12/value (0.0,)
/track/1/fx/1/fxparam/13/value (1.0,)
/track/1/fx/1/wetdry/str ('100',)
/track/1/fx/1/wetdry (1.0,)
/track/1/fx/1/fxparam/14/value (0.0,)
/track/1/fx/1/fxparam/15/value (0.0,)
/track/1/fx/1/fxparam/16/value (0.0,)
/track/1/fxinst/name ('',)
/track/1/fxinst/preset ('',)
/track/1/fxinst/bypass (0.0,)
/track/1/fxinst/openui (0.0,)
/track/1/fx/2/name ('',)
/track/1/fx/2/number/str ('',)
/track/1/fx/2/preset ('',)
/track/1/fx/2/bypass (0.0,)
/track/1/fx/2/openui (0.0,)
/track/1/fx/2/fxparam/1/value (0.0,)
/track/1/fx/2/fxparam/2/value (0.0,)
/track/1/fx/2/fxparam/3/value (0.0,)
/track/1/fx/2/fxparam/4/value (0.0,)
/track/1/fx/2/fxparam/5/value (0.0,)
/track/1/fx/2/fxparam/6/value (0.0,)
/track/1/fx/2/fxparam/7/value (0.0,)
/track/1/fx/2/fxparam/8/value (0.0,)
/track/1/fx/2/fxparam/9/value (0.0,)
/track/1/fx/2/fxparam/10/value (0.0,)
/track/1/fx/2/fxparam/11/value (0.0,)
/track/1/fx/2/fxparam/12/value (0.0,)
/track/1/fx/2/fxparam/13/value (0.0,)
/track/1/fx/2/fxparam/14/value (0.0,)
/track/1/fx/2/fxparam/15/value (0.0,)
/track/1/fx/2/fxparam/16/value (0.0,)
/track/1/fx/3/name ('',)
/track/1/fx/3/number/str ('',)
/track/1/fx/3/preset ('',)
/track/1/fx/3/bypass (0.0,)
/track/1/fx/3/openui (0.0,)
/track/1/fx/3/fxparam/1/value (0.0,)
/track/1/fx/3/fxparam/2/value (0.0,)
/track/1/fx/3/fxparam/3/value (0.0,)
/track/1/fx/3/fxparam/4/value (0.0,)
/track/1/fx/3/fxparam/5/value (0.0,)
/track/1/fx/3/fxparam/6/value (0.0,)
/track/1/fx/3/fxparam/7/value (0.0,)
/track/1/fx/3/fxparam/8/value (0.0,)
/track/1/fx/3/fxparam/9/value (0.0,)
/track/1/fx/3/fxparam/10/value (0.0,)
/track/1/fx/3/fxparam/11/value (0.0,)
/track/1/fx/3/fxparam/12/value (0.0,)
/track/1/fx/3/fxparam/13/value (0.0,)
/track/1/fx/3/fxparam/14/value (0.0,)
/track/1/fx/3/fxparam/15/value (0.0,)
/track/1/fx/3/fxparam/16/value (0.0,)
/track/1/fx/4/name ('',)
/track/1/fx/4/number/str ('',)
/track/1/fx/4/preset ('',)
/track/1/fx/4/bypass (0.0,)
/track/1/fx/4/openui (0.0,)
/track/1/fx/4/fxparam/1/value (0.0,)
/track/1/fx/4/fxparam/2/value (0.0,)
/track/1/fx/4/fxparam/3/value (0.0,)
/track/1/fx/4/fxparam/4/value (0.0,)
/track/1/fx/4/fxparam/5/value (0.0,)
/track/1/fx/4/fxparam/6/value (0.0,)
/track/1/fx/4/fxparam/7/value (0.0,)
/track/1/fx/4/fxparam/8/value (0.0,)
/track/1/fx/4/fxparam/9/value (0.0,)
/track/1/fx/4/fxparam/10/value (0.0,)
/track/1/fx/4/fxparam/11/value (0.0,)
/track/1/fx/4/fxparam/12/value (0.0,)
/track/1/fx/4/fxparam/13/value (0.0,)
/track/1/fx/4/fxparam/14/value (0.0,)
/track/1/fx/4/fxparam/15/value (0.0,)
/track/1/fx/4/fxparam/16/value (0.0,)
/track/1/fx/5/name ('',)
/track/1/fx/5/number/str ('',)
/track/1/fx/5/preset ('',)
/track/1/fx/5/bypass (0.0,)
/track/1/fx/5/openui (0.0,)
/track/1/fx/5/fxparam/1/value (0.0,)
/track/1/fx/5/fxparam/2/value (0.0,)
/track/1/fx/5/fxparam/3/value (0.0,)
/track/1/fx/5/fxparam/4/value (0.0,)
/track/1/fx/5/fxparam/5/value (0.0,)
/track/1/fx/5/fxparam/6/value (0.0,)
/track/1/fx/5/fxparam/7/value (0.0,)
/track/1/fx/5/fxparam/8/value (0.0,)
/track/1/fx/5/fxparam/9/value (0.0,)
/track/1/fx/5/fxparam/10/value (0.0,)
/track/1/fx/5/fxparam/11/value (0.0,)
/track/1/fx/5/fxparam/12/value (0.0,)
/track/1/fx/5/fxparam/13/value (0.0,)
/track/1/fx/5/fxparam/14/value (0.0,)
/track/1/fx/5/fxparam/15/value (0.0,)
/track/1/fx/5/fxparam/16/value (0.0,)
/track/1/fx/6/name ('',)
/track/1/fx/6/number/str ('',)
/track/1/fx/6/preset ('',)
/track/1/fx/6/bypass (0.0,)
/track/1/fx/6/openui (0.0,)
/track/1/fx/6/fxparam/1/value (0.0,)
/track/1/fx/6/fxparam/2/value (0.0,)
/track/1/fx/6/fxparam/3/value (0.0,)
/track/1/fx/6/fxparam/4/value (0.0,)
/track/1/fx/6/fxparam/5/value (0.0,)
/track/1/fx/6/fxparam/6/value (0.0,)
/track/1/fx/6/fxparam/7/value (0.0,)
/track/1/fx/6/fxparam/8/value (0.0,)
/track/1/fx/6/fxparam/9/value (0.0,)
/track/1/fx/6/fxparam/10/value (0.0,)
/track/1/fx/6/fxparam/11/value (0.0,)
/track/1/fx/6/fxparam/12/value (0.0,)
/track/1/fx/6/fxparam/13/value (0.0,)
/track/1/fx/6/fxparam/14/value (0.0,)
/track/1/fx/6/fxparam/15/value (0.0,)
/track/1/fx/6/fxparam/16/value (0.0,)
/track/1/fx/7/name ('',)
/track/1/fx/7/number/str ('',)
/track/1/fx/7/preset ('',)
/track/1/fx/7/bypass (0.0,)
/track/1/fx/7/openui (0.0,)
/track/1/fx/7/fxparam/1/value (0.0,)
/track/1/fx/7/fxparam/2/value (0.0,)
/track/1/fx/7/fxparam/3/value (0.0,)
/track/1/fx/7/fxparam/4/value (0.0,)
/track/1/fx/7/fxparam/5/value (0.0,)
/track/1/fx/7/fxparam/6/value (0.0,)
/track/1/fx/7/fxparam/7/value (0.0,)
/track/1/fx/7/fxparam/8/value (0.0,)
/track/1/fx/7/fxparam/9/value (0.0,)
/track/1/fx/7/fxparam/10/value (0.0,)
/track/1/fx/7/fxparam/11/value (0.0,)
/track/1/fx/7/fxparam/12/value (0.0,)
/track/1/fx/7/fxparam/13/value (0.0,)
/track/1/fx/7/fxparam/14/value (0.0,)
/track/1/fx/7/fxparam/15/value (0.0,)
/track/1/fx/7/fxparam/16/value (0.0,)
/track/1/fx/8/name ('',)
/track/1/fx/8/number/str ('',)
/track/1/fx/8/preset ('',)
/track/1/fx/8/bypass (0.0,)
/track/1/fx/8/openui (0.0,)
/track/1/fx/8/fxparam/1/value (0.0,)
/track/1/fx/8/fxparam/2/value (0.0,)
/track/1/fx/8/fxparam/3/value (0.0,)
/track/1/fx/8/fxparam/4/value (0.0,)
/track/1/fx/8/fxparam/5/value (0.0,)
/track/1/fx/8/fxparam/6/value (0.0,)
/track/1/fx/8/fxparam/7/value (0.0,)
/track/1/fx/8/fxparam/8/value (0.0,)
/track/1/fx/8/fxparam/9/value (0.0,)
/track/1/fx/8/fxparam/10/value (0.0,)
/track/1/fx/8/fxparam/11/value (0.0,)
/track/1/fx/8/fxparam/12/value (0.0,)
/track/1/fx/8/fxparam/13/value (0.0,)
/track/1/fx/8/fxparam/14/value (0.0,)
/track/1/fx/8/fxparam/15/value (0.0,)
/track/1/fx/8/fxparam/16/value (0.0,)
/track/2/name ('Track 2',)
/track/2/number/str ('2',)
/track/2/select (0.0,)
/track/2/volume/db (-150.0,)
/track/2/volume/str ('-inf dB',)
/track/2/volume (0.0025138729251921177,)
/track/2/panmode ('Balance',)
/track/2/pan2 (0.5,)
/track/2/pan2/str ('',)
/track/2/pan (0.5,)
/track/2/pan/str ('C',)
/track/2/mute (0.0,)
/track/2/mute/toggle (0.0,)
/track/2/solo (0.0,)
/track/2/solo/toggle (0.0,)
/track/2/recarm (0.0,)
/track/2/recarm/toggle (0.0,)
/track/2/monitor (0.0,)
/track/2/autotrim (1.0,)
/track/2/autoread (0.0,)
/track/2/autolatch (0.0,)
/track/2/autotouch (0.0,)
/track/2/autowrite (0.0,)
/track/2/send/1/name ('Send 1',)
/track/2/send/1/volume/str ('-inf dB',)
/track/2/send/1/volume (0.0025138729251921177,)
/track/2/send/1/pan/str ('center',)
/track/2/send/1/pan (0.5,)
/track/2/send/2/name ('Send 2',)
/track/2/send/2/volume/str ('-inf dB',)
/track/2/send/2/volume (0.0025138729251921177,)
/track/2/send/2/pan/str ('center',)
/track/2/send/2/pan (0.5,)
/track/2/send/3/name ('Send 3',)
/track/2/send/3/volume/str ('-inf dB',)
/track/2/send/3/volume (0.0025138729251921177,)
/track/2/send/3/pan/str ('center',)
/track/2/send/3/pan (0.5,)
/track/2/send/4/name ('Send 4',)
/track/2/send/4/volume/str ('-inf dB',)
/track/2/send/4/volume (0.0025138729251921177,)
/track/2/send/4/pan/str ('center',)
/track/2/send/4/pan (0.5,)
/track/2/recv/1/name ('Recv 1',)
/track/2/recv/1/volume/str ('-inf dB',)
/track/2/recv/1/volume (0.0025138729251921177,)
/track/2/recv/1/pan/str ('center',)
/track/2/recv/1/pan (0.5,)
/track/2/recv/2/name ('Recv 2',)
/track/2/recv/2/volume/str ('-inf dB',)
/track/2/recv/2/volume (0.0025138729251921177,)
/track/2/recv/2/pan/str ('center',)
/track/2/recv/2/pan (0.5,)
/track/2/recv/3/name ('Recv 3',)
/track/2/recv/3/volume/str ('-inf dB',)
/track/2/recv/3/volume (0.0025138729251921177,)
/track/2/recv/3/pan/str ('center',)
/track/2/recv/3/pan (0.5,)
/track/2/recv/4/name ('Recv 4',)
/track/2/recv/4/volume/str ('-inf dB',)
/track/2/recv/4/volume (0.0025138729251921177,)
/track/2/recv/4/pan/str ('center',)
/track/2/recv/4/pan (0.5,)
/track/2/fx/1/name ('',)
/track/2/fx/1/number/str ('',)
/track/2/fx/1/preset ('',)
/track/2/fx/1/bypass (0.0,)
/track/2/fx/1/openui (0.0,)
/track/2/fx/1/fxparam/1/value (0.0,)
/track/2/fx/1/fxparam/2/value (0.0,)
/track/2/fx/1/fxparam/3/value (0.0,)
/track/2/fx/1/fxparam/4/value (0.0,)
/track/2/fx/1/fxparam/5/value (0.0,)
/track/2/fx/1/fxparam/6/value (0.0,)
/track/2/fx/1/fxparam/7/value (0.0,)
/track/2/fx/1/fxparam/8/value (0.0,)
/track/2/fx/1/fxparam/9/value (0.0,)
/track/2/fx/1/fxparam/10/value (0.0,)
/track/2/fx/1/fxparam/11/value (0.0,)
/track/2/fx/1/fxparam/12/value (0.0,)
/track/2/fx/1/fxparam/13/value (0.0,)
/track/2/fx/1/fxparam/14/value (0.0,)
/track/2/fx/1/fxparam/15/value (0.0,)
/track/2/fx/1/fxparam/16/value (0.0,)
/track/2/fxinst/name ('',)
/track/2/fxinst/preset ('',)
/track/2/fxinst/bypass (0.0,)
/track/2/fxinst/openui (0.0,)
/track/2/fx/2/name ('',)
/track/2/fx/2/number/str ('',)
/track/2/fx/2/preset ('',)
/track/2/fx/2/bypass (0.0,)
/track/2/fx/2/openui (0.0,)
/track/2/fx/2/fxparam/1/value (0.0,)
/track/2/fx/2/fxparam/2/value (0.0,)
/track/2/fx/2/fxparam/3/value (0.0,)
/track/2/fx/2/fxparam/4/value (0.0,)
/track/2/fx/2/fxparam/5/value (0.0,)
/track/2/fx/2/fxparam/6/value (0.0,)
/track/2/fx/2/fxparam/7/value (0.0,)
/track/2/fx/2/fxparam/8/value (0.0,)
/track/2/fx/2/fxparam/9/value (0.0,)
/track/2/fx/2/fxparam/10/value (0.0,)
/track/2/fx/2/fxparam/11/value (0.0,)
/track/2/fx/2/fxparam/12/value (0.0,)
/track/2/fx/2/fxparam/13/value (0.0,)
/track/2/fx/2/fxparam/14/value (0.0,)
/track/2/fx/2/fxparam/15/value (0.0,)
/track/2/fx/2/fxparam/16/value (0.0,)
/track/2/fx/3/name ('',)
/track/2/fx/3/number/str ('',)
/track/2/fx/3/preset ('',)
/track/2/fx/3/bypass (0.0,)
/track/2/fx/3/openui (0.0,)
/track/2/fx/3/fxparam/1/value (0.0,)
/track/2/fx/3/fxparam/2/value (0.0,)
/track/2/fx/3/fxparam/3/value (0.0,)
/track/2/fx/3/fxparam/4/value (0.0,)
/track/2/fx/3/fxparam/5/value (0.0,)
/track/2/fx/3/fxparam/6/value (0.0,)
/track/2/fx/3/fxparam/7/value (0.0,)
/track/2/fx/3/fxparam/8/value (0.0,)
/track/2/fx/3/fxparam/9/value (0.0,)
/track/2/fx/3/fxparam/10/value (0.0,)
/track/2/fx/3/fxparam/11/value (0.0,)
/track/2/fx/3/fxparam/12/value (0.0,)
/track/2/fx/3/fxparam/13/value (0.0,)
/track/2/fx/3/fxparam/14/value (0.0,)
/track/2/fx/3/fxparam/15/value (0.0,)
/track/2/fx/3/fxparam/16/value (0.0,)
/track/2/fx/4/name ('',)
/track/2/fx/4/number/str ('',)
/track/2/fx/4/preset ('',)
/track/2/fx/4/bypass (0.0,)
/track/2/fx/4/openui (0.0,)
/track/2/fx/4/fxparam/1/value (0.0,)
/track/2/fx/4/fxparam/2/value (0.0,)
/track/2/fx/4/fxparam/3/value (0.0,)
/track/2/fx/4/fxparam/4/value (0.0,)
/track/2/fx/4/fxparam/5/value (0.0,)
/track/2/fx/4/fxparam/6/value (0.0,)
/track/2/fx/4/fxparam/7/value (0.0,)
/track/2/fx/4/fxparam/8/value (0.0,)
/track/2/fx/4/fxparam/9/value (0.0,)
/track/2/fx/4/fxparam/10/value (0.0,)
/track/2/fx/4/fxparam/11/value (0.0,)
/track/2/fx/4/fxparam/12/value (0.0,)
/track/2/fx/4/fxparam/13/value (0.0,)
/track/2/fx/4/fxparam/14/value (0.0,)
/track/2/fx/4/fxparam/15/value (0.0,)
/track/2/fx/4/fxparam/16/value (0.0,)
/track/2/fx/5/name ('',)
/track/2/fx/5/number/str ('',)
/track/2/fx/5/preset ('',)
/track/2/fx/5/bypass (0.0,)
/track/2/fx/5/openui (0.0,)
/track/2/fx/5/fxparam/1/value (0.0,)
/track/2/fx/5/fxparam/2/value (0.0,)
/track/2/fx/5/fxparam/3/value (0.0,)
/track/2/fx/5/fxparam/4/value (0.0,)
/track/2/fx/5/fxparam/5/value (0.0,)
/track/2/fx/5/fxparam/6/value (0.0,)
/track/2/fx/5/fxparam/7/value (0.0,)
/track/2/fx/5/fxparam/8/value (0.0,)
/track/2/fx/5/fxparam/9/value (0.0,)
/track/2/fx/5/fxparam/10/value (0.0,)
/track/2/fx/5/fxparam/11/value (0.0,)
/track/2/fx/5/fxparam/12/value (0.0,)
/track/2/fx/5/fxparam/13/value (0.0,)
/track/2/fx/5/fxparam/14/value (0.0,)
/track/2/fx/5/fxparam/15/value (0.0,)
/track/2/fx/5/fxparam/16/value (0.0,)
/track/2/fx/6/name ('',)
/track/2/fx/6/number/str ('',)
/track/2/fx/6/preset ('',)
/track/2/fx/6/bypass (0.0,)
/track/2/fx/6/openui (0.0,)
/track/2/fx/6/fxparam/1/value (0.0,)
/track/2/fx/6/fxparam/2/value (0.0,)
/track/2/fx/6/fxparam/3/value (0.0,)
/track/2/fx/6/fxparam/4/value (0.0,)
/track/2/fx/6/fxparam/5/value (0.0,)
/track/2/fx/6/fxparam/6/value (0.0,)
/track/2/fx/6/fxparam/7/value (0.0,)
/track/2/fx/6/fxparam/8/value (0.0,)
/track/2/fx/6/fxparam/9/value (0.0,)
/track/2/fx/6/fxparam/10/value (0.0,)
/track/2/fx/6/fxparam/11/value (0.0,)
/track/2/fx/6/fxparam/12/value (0.0,)
/track/2/fx/6/fxparam/13/value (0.0,)
/track/2/fx/6/fxparam/14/value (0.0,)
/track/2/fx/6/fxparam/15/value (0.0,)
/track/2/fx/6/fxparam/16/value (0.0,)
/track/2/fx/7/name ('',)
/track/2/fx/7/number/str ('',)
/track/2/fx/7/preset ('',)
/track/2/fx/7/bypass (0.0,)
/track/2/fx/7/openui (0.0,)
/track/2/fx/7/fxparam/1/value (0.0,)
/track/2/fx/7/fxparam/2/value (0.0,)
/track/2/fx/7/fxparam/3/value (0.0,)
/track/2/fx/7/fxparam/4/value (0.0,)
/track/2/fx/7/fxparam/5/value (0.0,)
/track/2/fx/7/fxparam/6/value (0.0,)
/track/2/fx/7/fxparam/7/value (0.0,)
/track/2/fx/7/fxparam/8/value (0.0,)
/track/2/fx/7/fxparam/9/value (0.0,)
/track/2/fx/7/fxparam/10/value (0.0,)
/track/2/fx/7/fxparam/11/value (0.0,)
/track/2/fx/7/fxparam/12/value (0.0,)
/track/2/fx/7/fxparam/13/value (0.0,)
/track/2/fx/7/fxparam/14/value (0.0,)
/track/2/fx/7/fxparam/15/value (0.0,)
/track/2/fx/7/fxparam/16/value (0.0,)
/track/2/fx/8/name ('',)
/track/2/fx/8/number/str ('',)
/track/2/fx/8/preset ('',)
/track/2/fx/8/bypass (0.0,)
/track/2/fx/8/openui (0.0,)
/track/2/fx/8/fxparam/1/value (0.0,)
/track/2/fx/8/fxparam/2/value (0.0,)
/track/2/fx/8/fxparam/3/value (0.0,)
/track/2/fx/8/fxparam/4/value (0.0,)
/track/2/fx/8/fxparam/5/value (0.0,)
/track/2/fx/8/fxparam/6/value (0.0,)
/track/2/fx/8/fxparam/7/value (0.0,)
/track/2/fx/8/fxparam/8/value (0.0,)
/track/2/fx/8/fxparam/9/value (0.0,)
/track/2/fx/8/fxparam/10/value (0.0,)
/track/2/fx/8/fxparam/11/value (0.0,)
/track/2/fx/8/fxparam/12/value (0.0,)
/track/2/fx/8/fxparam/13/value (0.0,)
/track/2/fx/8/fxparam/14/value (0.0,)
/track/2/fx/8/fxparam/15/value (0.0,)
/track/2/fx/8/fxparam/16/value (0.0,)
/track/3/name ('Track 3',)
/track/3/number/str ('3',)
/track/3/select (0.0,)
/track/3/volume/db (-150.0,)
/track/3/volume/str ('-inf dB',)
/track/3/volume (0.0025138729251921177,)
/track/3/panmode ('Balance',)
/track/3/pan2 (0.5,)
/track/3/pan2/str ('',)
/track/3/pan (0.5,)
/track/3/pan/str ('C',)
/track/3/mute (0.0,)
/track/3/mute/toggle (0.0,)
/track/3/solo (0.0,)
/track/3/solo/toggle (0.0,)
/track/3/recarm (0.0,)
/track/3/recarm/toggle (0.0,)
/track/3/monitor (0.0,)
/track/3/autotrim (1.0,)
/track/3/autoread (0.0,)
/track/3/autolatch (0.0,)
/track/3/autotouch (0.0,)
/track/3/autowrite (0.0,)
/track/3/send/1/name ('Send 1',)
/track/3/send/1/volume/str ('-inf dB',)
/track/3/send/1/volume (0.0025138729251921177,)
/track/3/send/1/pan/str ('center',)
/track/3/send/1/pan (0.5,)
/track/3/send/2/name ('Send 2',)
/track/3/send/2/volume/str ('-inf dB',)
/track/3/send/2/volume (0.0025138729251921177,)
/track/3/send/2/pan/str ('center',)
/track/3/send/2/pan (0.5,)
/track/3/send/3/name ('Send 3',)
/track/3/send/3/volume/str ('-inf dB',)
/track/3/send/3/volume (0.0025138729251921177,)
/track/3/send/3/pan/str ('center',)
/track/3/send/3/pan (0.5,)
/track/3/send/4/name ('Send 4',)
/track/3/send/4/volume/str ('-inf dB',)
/track/3/send/4/volume (0.0025138729251921177,)
/track/3/send/4/pan/str ('center',)
/track/3/send/4/pan (0.5,)
/track/3/recv/1/name ('Recv 1',)
/track/3/recv/1/volume/str ('-inf dB',)
/track/3/recv/1/volume (0.0025138729251921177,)
/track/3/recv/1/pan/str ('center',)
/track/3/recv/1/pan (0.5,)
/track/3/recv/2/name ('Recv 2',)
/track/3/recv/2/volume/str ('-inf dB',)
/track/3/recv/2/volume (0.0025138729251921177,)
/track/3/recv/2/pan/str ('center',)
/track/3/recv/2/pan (0.5,)
/track/3/recv/3/name ('Recv 3',)
/track/3/recv/3/volume/str ('-inf dB',)
/track/3/recv/3/volume (0.0025138729251921177,)
/track/3/recv/3/pan/str ('center',)
/track/3/recv/3/pan (0.5,)
/track/3/recv/4/name ('Recv 4',)
/track/3/recv/4/volume/str ('-inf dB',)
/track/3/recv/4/volume (0.0025138729251921177,)
/track/3/recv/4/pan/str ('center',)
/track/3/recv/4/pan (0.5,)
/track/3/fx/1/name ('',)
/track/3/fx/1/number/str ('',)
/track/3/fx/1/preset ('',)
/track/3/fx/1/bypass (0.0,)
/track/3/fx/1/openui (0.0,)
/track/3/fx/1/fxparam/1/value (0.0,)
/track/3/fx/1/fxparam/2/value (0.0,)
/track/3/fx/1/fxparam/3/value (0.0,)
/track/3/fx/1/fxparam/4/value (0.0,)
/track/3/fx/1/fxparam/5/value (0.0,)
/track/3/fx/1/fxparam/6/value (0.0,)
/track/3/fx/1/fxparam/7/value (0.0,)
/track/3/fx/1/fxparam/8/value (0.0,)
/track/3/fx/1/fxparam/9/value (0.0,)
/track/3/fx/1/fxparam/10/value (0.0,)
/track/3/fx/1/fxparam/11/value (0.0,)
/track/3/fx/1/fxparam/12/value (0.0,)
/track/3/fx/1/fxparam/13/value (0.0,)
/track/3/fx/1/fxparam/14/value (0.0,)
/track/3/fx/1/fxparam/15/value (0.0,)
/track/3/fx/1/fxparam/16/value (0.0,)
/track/3/fxinst/name ('',)
/track/3/fxinst/preset ('',)
/track/3/fxinst/bypass (0.0,)
/track/3/fxinst/openui (0.0,)
/track/3/fx/2/name ('',)
/track/3/fx/2/number/str ('',)
/track/3/fx/2/preset ('',)
/track/3/fx/2/bypass (0.0,)
/track/3/fx/2/openui (0.0,)
/track/3/fx/2/fxparam/1/value (0.0,)
/track/3/fx/2/fxparam/2/value (0.0,)
/track/3/fx/2/fxparam/3/value (0.0,)
/track/3/fx/2/fxparam/4/value (0.0,)
/track/3/fx/2/fxparam/5/value (0.0,)
/track/3/fx/2/fxparam/6/value (0.0,)
/track/3/fx/2/fxparam/7/value (0.0,)
/track/3/fx/2/fxparam/8/value (0.0,)
/track/3/fx/2/fxparam/9/value (0.0,)
/track/3/fx/2/fxparam/10/value (0.0,)
/track/3/fx/2/fxparam/11/value (0.0,)
/track/3/fx/2/fxparam/12/value (0.0,)
/track/3/fx/2/fxparam/13/value (0.0,)
/track/3/fx/2/fxparam/14/value (0.0,)
/track/3/fx/2/fxparam/15/value (0.0,)
/track/3/fx/2/fxparam/16/value (0.0,)
/track/3/fx/3/name ('',)
/track/3/fx/3/number/str ('',)
/track/3/fx/3/preset ('',)
/track/3/fx/3/bypass (0.0,)
/track/3/fx/3/openui (0.0,)
/track/3/fx/3/fxparam/1/value (0.0,)
/track/3/fx/3/fxparam/2/value (0.0,)
/track/3/fx/3/fxparam/3/value (0.0,)
/track/3/fx/3/fxparam/4/value (0.0,)
/track/3/fx/3/fxparam/5/value (0.0,)
/track/3/fx/3/fxparam/6/value (0.0,)
/track/3/fx/3/fxparam/7/value (0.0,)
/track/3/fx/3/fxparam/8/value (0.0,)
/track/3/fx/3/fxparam/9/value (0.0,)
/track/3/fx/3/fxparam/10/value (0.0,)
/track/3/fx/3/fxparam/11/value (0.0,)
/track/3/fx/3/fxparam/12/value (0.0,)
/track/3/fx/3/fxparam/13/value (0.0,)
/track/3/fx/3/fxparam/14/value (0.0,)
/track/3/fx/3/fxparam/15/value (0.0,)
/track/3/fx/3/fxparam/16/value (0.0,)
/track/3/fx/4/name ('',)
/track/3/fx/4/number/str ('',)
/track/3/fx/4/preset ('',)
/track/3/fx/4/bypass (0.0,)
/track/3/fx/4/openui (0.0,)
/track/3/fx/4/fxparam/1/value (0.0,)
/track/3/fx/4/fxparam/2/value (0.0,)
/track/3/fx/4/fxparam/3/value (0.0,)
/track/3/fx/4/fxparam/4/value (0.0,)
/track/3/fx/4/fxparam/5/value (0.0,)
/track/3/fx/4/fxparam/6/value (0.0,)
/track/3/fx/4/fxparam/7/value (0.0,)
/track/3/fx/4/fxparam/8/value (0.0,)
/track/3/fx/4/fxparam/9/value (0.0,)
/track/3/fx/4/fxparam/10/value (0.0,)
/track/3/fx/4/fxparam/11/value (0.0,)
/track/3/fx/4/fxparam/12/value (0.0,)
/track/3/fx/4/fxparam/13/value (0.0,)
/track/3/fx/4/fxparam/14/value (0.0,)
/track/3/fx/4/fxparam/15/value (0.0,)
/track/3/fx/4/fxparam/16/value (0.0,)
/track/3/fx/5/name ('',)
/track/3/fx/5/number/str ('',)
/track/3/fx/5/preset ('',)
/track/3/fx/5/bypass (0.0,)
/track/3/fx/5/openui (0.0,)
/track/3/fx/5/fxparam/1/value (0.0,)
/track/3/fx/5/fxparam/2/value (0.0,)
/track/3/fx/5/fxparam/3/value (0.0,)
/track/3/fx/5/fxparam/4/value (0.0,)
/track/3/fx/5/fxparam/5/value (0.0,)
/track/3/fx/5/fxparam/6/value (0.0,)
/track/3/fx/5/fxparam/7/value (0.0,)
/track/3/fx/5/fxparam/8/value (0.0,)
/track/3/fx/5/fxparam/9/value (0.0,)
/track/3/fx/5/fxparam/10/value (0.0,)
/track/3/fx/5/fxparam/11/value (0.0,)
/track/3/fx/5/fxparam/12/value (0.0,)
/track/3/fx/5/fxparam/13/value (0.0,)
/track/3/fx/5/fxparam/14/value (0.0,)
/track/3/fx/5/fxparam/15/value (0.0,)
/track/3/fx/5/fxparam/16/value (0.0,)
/track/3/fx/6/name ('',)
/track/3/fx/6/number/str ('',)
/track/3/fx/6/preset ('',)
/track/3/fx/6/bypass (0.0,)
/track/3/fx/6/openui (0.0,)
/track/3/fx/6/fxparam/1/value (0.0,)
/track/3/fx/6/fxparam/2/value (0.0,)
/track/3/fx/6/fxparam/3/value (0.0,)
/track/3/fx/6/fxparam/4/value (0.0,)
/track/3/fx/6/fxparam/5/value (0.0,)
/track/3/fx/6/fxparam/6/value (0.0,)
/track/3/fx/6/fxparam/7/value (0.0,)
/track/3/fx/6/fxparam/8/value (0.0,)
/track/3/fx/6/fxparam/9/value (0.0,)
