Example response to /action,41743
/fx/1/fxparam/13/name ('',)
/fx/1/fxparam/13/value/str ('',)
/fx/1/fxparam/13/value (0.0,)
/fx/1/fxparam/14/name ('',)
/fx/1/fxparam/14/value/str ('',)
/fx/1/fxparam/14/value (0.0,)
/fx/1/fxparam/15/name ('',)
/fx/1/fxparam/15/value/str ('',)
/fx/1/fxparam/15/value (0.0,)
/fx/1/fxparam/16/name ('',)
/fx/1/fxparam/16/value/str ('',)
/fx/1/fxparam/16/value (0.0,)
/fxinst/name ('',)
/fxinst/preset ('',)
/fxinst/bypass (0.0,)
/fxinst/openui (0.0,)
/fx/2/name ('',)
/fx/2/number/str ('',)
/fx/2/preset ('',)
/fx/2/bypass (0.0,)
/fx/2/openui (0.0,)
/fx/2/fxparam/1/name ('',)
/fx/2/fxparam/1/value/str ('',)
/fx/2/fxparam/1/value (0.0,)
/fx/2/fxparam/2/name ('',)
/fx/2/fxparam/2/value/str ('',)
/fx/2/fxparam/2/value (0.0,)
/fx/2/fxparam/3/name ('',)
/fx/2/fxparam/3/value/str ('',)
/fx/2/fxparam/3/value (0.0,)
/fx/2/fxparam/4/name ('',)
/fx/2/fxparam/4/value/str ('',)
/fx/2/fxparam/4/value (0.0,)
/fx/2/fxparam/5/name ('',)
/fx/2/fxparam/5/value/str ('',)
/fx/2/fxparam/5/value (0.0,)
/fx/2/fxparam/6/name ('',)
/fx/2/fxparam/6/value/str ('',)
/fx/2/fxparam/6/value (0.0,)
/fx/2/fxparam/7/name ('',)
/fx/2/fxparam/7/value/str ('',)
/fx/2/fxparam/7/value (0.0,)
/fx/2/fxparam/8/name ('',)
/fx/2/fxparam/8/value/str ('',)
/fx/2/fxparam/8/value (0.0,)
/fx/2/fxparam/9/name ('',)
/fx/2/fxparam/9/value/str ('',)
/fx/2/fxparam/9/value (0.0,)
/fx/2/fxparam/10/name ('',)
/fx/2/fxparam/10/value/str ('',)
/fx/2/fxparam/10/value (0.0,)
/fx/2/fxparam/11/name ('',)
/fx/2/fxparam/11/value/str ('',)
/fx/2/fxparam/11/value (0.0,)
/fx/2/fxparam/12/name ('',)
/fx/2/fxparam/12/value/str ('',)
/fx/2/fxparam/12/value (0.0,)
/fx/2/fxparam/13/name ('',)
/fx/2/fxparam/13/value/str ('',)
/fx/2/fxparam/13/value (0.0,)
/fx/2/fxparam/14/name ('',)
/fx/2/fxparam/14/value/str ('',)
/fx/2/fxparam/14/value (0.0,)
/fx/2/fxparam/15/name ('',)
/fx/2/fxparam/15/value/str ('',)
/fx/2/fxparam/15/value (0.0,)
/fx/2/fxparam/16/name ('',)
/fx/2/fxparam/16/value/str ('',)
/fx/2/fxparam/16/value (0.0,)
/fx/3/name ('',)
/fx/3/number/str ('',)
/fx/3/preset ('',)
/fx/3/bypass (0.0,)
/fx/3/openui (0.0,)
/fx/3/fxparam/1/name ('',)
/fx/3/fxparam/1/value/str ('',)
/fx/3/fxparam/1/value (0.0,)
/fx/3/fxparam/2/name ('',)
/fx/3/fxparam/2/value/str ('',)
/fx/3/fxparam/2/value (0.0,)
/fx/3/fxparam/3/name ('',)
/fx/3/fxparam/3/value/str ('',)
/fx/3/fxparam/3/value (0.0,)
/fx/3/fxparam/4/name ('',)
/fx/3/fxparam/4/value/str ('',)
/fx/3/fxparam/4/value (0.0,)
/fx/3/fxparam/5/name ('',)
/fx/3/fxparam/5/value/str ('',)
/fx/3/fxparam/5/value (0.0,)
/fx/3/fxparam/6/name ('',)
/fx/3/fxparam/6/value/str ('',)
/fx/3/fxparam/6/value (0.0,)
/fx/3/fxparam/7/name ('',)
/fx/3/fxparam/7/value/str ('',)
/fx/3/fxparam/7/value (0.0,)
/fx/3/fxparam/8/name ('',)
/fx/3/fxparam/8/value/str ('',)
/fx/3/fxparam/8/value (0.0,)
/fx/3/fxparam/9/name ('',)
/fx/3/fxparam/9/value/str ('',)
/fx/3/fxparam/9/value (0.0,)
/fx/3/fxparam/10/name ('',)
/fx/3/fxparam/10/value/str ('',)
/fx/3/fxparam/10/value (0.0,)
/fx/3/fxparam/11/name ('',)
/fx/3/fxparam/11/value/str ('',)
/fx/3/fxparam/11/value (0.0,)
/fx/3/fxparam/12/name ('',)
/fx/3/fxparam/12/value/str ('',)
/fx/3/fxparam/12/value (0.0,)
/fx/3/fxparam/13/name ('',)
/fx/3/fxparam/13/value/str ('',)
/fx/3/fxparam/13/value (0.0,)
/fx/3/fxparam/14/name ('',)
/fx/3/fxparam/14/value/str ('',)
/fx/3/fxparam/14/value (0.0,)
/fx/3/fxparam/15/name ('',)
/fx/3/fxparam/15/value/str ('',)
/fx/3/fxparam/15/value (0.0,)
/fx/3/fxparam/16/name ('',)
/fx/3/fxparam/16/value/str ('',)
/fx/3/fxparam/16/value (0.0,)
/fx/4/name ('',)
/fx/4/number/str ('',)
/fx/4/preset ('',)
/fx/4/bypass (0.0,)
/fx/4/openui (0.0,)
/fx/4/fxparam/1/name ('',)
/fx/4/fxparam/1/value/str ('',)
/fx/4/fxparam/1/value (0.0,)
/fx/4/fxparam/2/name ('',)
/fx/4/fxparam/2/value/str ('',)
/fx/4/fxparam/2/value (0.0,)
/fx/4/fxparam/3/name ('',)
/fx/4/fxparam/3/value/str ('',)
